lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
28,2,99.87,10,12,4,2,1,0,0,1
64,0,100.0,10,1,3,4,2,0,0,1
132,0,151.2,10,16,4,2,2,0,3,0
4,1,65.0,10,11,2,3,0,0,0,1
3,0,66.0,1,22,2,1,0,0,0,1
7,0,61.0,8,5,3,3,0,0,0,1
51,1,154.35,7,9,4,2,2,0,3,1
76,1,111.3,4,28,4,3,0,0,0,0
0,0,94.0,2,24,4,1,0,3,0,1
42,0,103.84,4,21,4,3,1,0,0,1
1,1,45.0,1,22,3,1,0,0,0,1
5,2,128.0,3,21,4,1,1,0,0,1
4,1,160.0,10,17,4,4,1,0,0,1
3,2,89.0,4,19,4,1,0,3,0,1
162,0,96.3,8,27,4,1,0,0,0,0
90,1,105.3,4,19,4,3,0,0,0,1
87,0,104.4,10,26,4,3,0,0,3,0
116,0,96.05,9,18,4,2,1,1,0,0
116,0,82.0,2,28,3,1,2,0,0,1
95,2,77.86,12,7,4,4,0,0,1,1
0,2,146.4,9,8,4,5,0,0,0,1
10,0,104.0,9,19,2,1,1,0,0,1
226,0,102.76,10,25,3,3,0,1,0,0
2,1,42.0,1,13,2,1,0,0,0,1
76,3,168.3,9,15,4,3,0,0,3,1
70,0,69.5,2,5,4,2,0,3,0,1
6,0,0.0,12,10,4,1,0,1,0,1
52,3,94.5,10,23,4,2,1,0,0,1
7,1,151.0,6,9,4,3,1,0,3,1
31,2,149.4,9,9,4,2,2,0,3,1
86,0,96.9,7,10,3,2,2,0,0,1
7,0,97.0,5,16,4,0,1,0,0,0
33,0,95.0,1,25,2,2,1,0,0,1
125,0,76.5,7,15,4,4,2,0,0,0
2,0,65.0,7,10,2,1,2,0,0,1
113,2,137.21,5,16,4,5,2,0,3,1
3,0,153.0,8,13,4,1,0,3,5,1
0,1,143.0,6,28,4,1,0,0,0,1
1,0,66.0,1,5,2,2,0,0,0,1
7,0,89.8,11,17,4,1,0,0,0,1
9,1,106.0,12,16,4,1,0,0,3,1
2,2,122.0,8,17,4,3,1,0,0,1
108,0,93.4,12,24,4,3,2,3,0,1
188,1,186.3,7,16,4,1,2,0,5,0
150,0,91.12,9,18,4,5,2,0,0,1
128,0,135.0,10,11,4,5,0,0,3,0
0,0,12.0,12,29,3,3,1,0,0,1
2,1,161.0,5,28,4,1,0,0,0,1
14,0,80.08,5,31,4,2,0,3,0,1
1,0,90.0,1,24,4,0,1,3,0,1
135,2,90.0,11,5,4,1,1,0,0,1
10,2,156.0,8,13,4,1,1,0,0,1
230,1,98.6,10,30,4,3,2,0,3,0
62,0,75.0,11,21,3,2,1,0,0,1
130,2,153.3,10,31,4,2,1,0,5,1
12,0,140.5,12,20,3,2,2,1,3,1
35,1,81.9,3,8,4,5,2,0,0,0
5,1,89.3,1,15,4,1,0,0,3,1
91,1,52.02,4,1,4,2,2,3,0,1
34,2,120.7,12,3,4,6,2,1,0,1
163,1,73.37,4,9,4,5,2,0,0,1
32,1,125.1,5,18,4,2,0,3,0,1
33,1,89.78,10,6,4,4,0,0,0,0
196,1,87.67,9,17,4,3,2,0,0,1
37,1,108.9,6,9,4,1,0,0,0,1
75,1,87.55,4,4,4,4,1,0,0,1
35,2,86.4,9,14,4,0,1,3,0,1
42,1,127.79,3,12,4,5,2,1,3,1
153,1,101.35,7,30,4,5,2,0,3,0
0,2,138.0,8,17,4,1,0,3,0,1
3,0,65.0,9,19,2,0,1,0,0,1
20,1,90.86,5,29,4,2,2,0,0,1
127,0,130.05,7,25,4,3,1,0,3,1
112,1,120.0,6,2,3,3,0,0,0,1
15,0,182.14,10,1,4,1,2,0,5,1
13,0,126.28,9,27,4,2,0,0,3,1
221,1,65.0,10,17,3,1,2,0,0,1
22,2,152.6,4,14,4,3,2,0,3,1
7,2,143.2,9,21,4,4,1,0,0,1
155,1,148.58,12,29,4,3,2,0,5,0
1,2,189.0,12,3,4,1,1,1,0,1
0,0,147.5,9,5,4,1,1,0,0,1
0,2,50.0,12,17,2,1,0,0,0,1
160,1,115.0,9,13,3,2,0,1,0,0
39,1,51.28,3,10,4,3,1,3,0,0
12,0,90.0,8,5,2,3,0,0,0,1
19,0,156.0,4,30,4,1,0,0,3,0
22,0,126.0,7,20,3,1,0,0,0,1
3,0,125.0,4,16,4,1,0,0,0,1
12,1,125.0,5,30,4,0,1,0,0,1
83,1,96.3,4,7,4,2,0,0,0,1
0,0,109.0,6,10,4,1,0,3,0,1
91,0,75.0,5,10,3,2,0,0,0,0
73,1,69.7,3,28,3,3,1,0,3,1
1,0,89.25,6,17,3,1,0,1,0,1
248,0,118.0,5,26,4,2,0,0,0,0
95,0,68.2,4,11,4,2,1,0,3,1
66,1,62.18,3,19,4,2,2,3,0,1
29,0,95.0,9,17,3,1,1,0,0,1
1,0,135.0,6,19,4,0,2,0,0,1
152,0,80.75,6,18,3,4,2,0,0,1
61,0,91.6,12,8,4,2,0,0,1,1
156,0,96.3,6,26,4,0,1,0,0,0
107,1,140.25,6,28,4,6,2,1,0,1
93,1,161.15,11,7,2,3,1,0,0,1
33,1,162.45,3,18,4,2,0,0,5,1
121,1,65.45,11,16,4,4,2,0,0,1
49,0,137.7,6,19,4,3,2,0,3,0
8,1,106.25,5,25,4,1,0,0,0,1
0,1,143.0,9,5,4,1,0,0,0,1
83,0,103.7,4,16,4,2,2,0,3,1
167,0,98.1,10,1,4,1,2,3,0,0
24,1,0.0,11,5,1,1,0,0,0,1
25,0,72.8,2,14,4,1,2,0,0,0
38,1,95.48,10,3,4,3,1,0,3,1
59,0,93.6,12,23,4,2,0,0,0,0
0,0,138.99,9,27,4,1,0,0,0,1
1,0,139.0,8,20,4,1,1,3,0,1
49,0,109.8,8,28,4,0,1,0,0,1
150,1,91.48,9,25,4,0,2,0,0,1
162,0,96.3,7,1,4,2,1,0,0,0
61,2,121.5,5,13,4,2,1,0,0,1
3,0,79.0,2,7,4,0,2,3,0,0
132,1,101.58,7,11,4,3,1,0,0,1
119,1,76.5,7,20,4,0,1,0,0,0
10,0,128.86,4,16,4,5,2,0,3,0
172,1,96.3,6,27,4,2,1,0,0,1
28,0,171.87,10,8,4,1,1,0,4,1
30,0,99.0,4,13,4,4,0,3,0,0
142,0,85.0,11,21,4,3,1,0,0,0
60,1,96.3,12,9,4,4,0,0,0,1
28,1,107.53,10,7,4,3,0,0,0,1
34,0,111.96,10,26,3,4,1,1,1,1
4,0,63.8,1,25,3,3,1,0,0,1
85,0,129.73,9,29,2,2,0,0,0,1
28,2,100.7,3,9,4,4,0,0,3,1
1,1,67.0,8,30,2,2,0,0,0,1
237,0,147.3,10,13,4,3,0,0,3,0
251,2,100.3,9,25,4,2,2,0,0,0
4,1,187.0,3,26,4,1,0,0,3,1
191,2,131.75,8,8,4,3,1,1,0,0
9,2,95.0,9,10,4,1,0,0,0,1
44,1,98.8,11,19,4,1,1,0,0,0
120,1,109.65,5,31,4,7,2,3,0,0
31,0,81.9,3,14,4,1,1,0,1,1
54,1,99.0,3,18,4,2,1,0,0,1
5,0,125.0,5,15,3,1,2,1,0,1
34,0,65.0,10,25,2,1,2,0,0,1
19,0,174.25,10,21,3,1,0,0,5,1
15,0,80.46,10,1,4,3,1,0,0,1
159,1,144.0,9,19,3,2,1,0,0,0
120,1,220.0,8,5,4,10,4,0,6,0
51,1,137.7,7,15,4,1,0,0,3,1
266,2,86.7,10,30,4,2,2,0,0,1
7,0,97.0,5,16,4,0,1,0,0,1
54,0,90.95,6,20,3,2,1,0,3,1
18,0,129.0,6,17,4,2,0,3,0,1
56,0,126.9,5,21,4,1,2,0,0,0
186,0,84.43,9,10,4,6,4,3,0,0
4,1,68.0,2,29,2,4,1,0,0,1
30,0,68.7,2,12,4,2,1,0,0,0
20,0,85.0,3,6,4,1,2,0,0,0
48,1,105.3,3,9,4,3,0,0,3,1
172,0,123.25,5,26,4,3,1,0,3,0
120,0,99.45,5,9,4,3,1,0,0,0
4,0,79.0,2,16,4,1,0,3,0,1
0,0,65.0,12,14,2,1,0,0,0,1
62,0,106.2,4,1,4,2,1,0,3,1
48,1,76.5,3,17,4,1,0,0,0,0
216,1,78.3,12,4,4,1,2,0,0,1
256,3,96.3,10,20,4,3,0,0,0,1
144,0,80.75,6,29,4,4,1,0,0,0
20,1,231.0,8,6,4,1,0,0,5,1
48,1,73.1,3,2,4,3,0,3,0,0
151,0,103.09,7,9,4,5,2,0,0,0
76,1,131.4,6,28,4,2,0,0,3,1
8,1,131.0,6,22,4,2,0,0,3,1
67,0,139.5,7,12,4,4,0,0,3,1
5,0,99.75,8,15,4,2,2,0,0,0
4,0,95.0,10,23,3,3,2,0,0,1
4,0,110.0,10,29,0,1,0,0,3,0
3,0,65.0,9,27,2,0,2,0,0,1
77,1,145.8,11,6,4,2,2,0,3,1
346,1,115.0,9,13,4,2,0,1,0,0
207,2,106.25,9,30,4,3,2,0,0,0
18,0,118.0,9,4,4,0,1,3,0,0
18,0,91.0,2,12,4,2,1,0,0,1
0,2,106.25,10,21,4,2,2,0,0,1
54,0,55.8,3,19,3,1,2,0,0,1
202,2,90.95,8,8,4,7,3,0,0,1
34,0,95.2,12,25,4,2,2,0,0,0
147,0,90.0,12,5,4,2,1,0,0,0
103,0,124.53,5,5,4,3,1,0,3,0
106,1,76.5,8,13,4,7,2,0,0,1
240,1,70.55,12,31,4,2,2,3,0,0
259,1,73.95,12,7,4,4,0,0,0,1
24,1,58.0,12,26,3,2,2,0,0,1
181,0,85.5,8,25,4,1,0,3,0,0
53,0,94.5,10,9,4,2,1,0,0,1
22,0,0.0,2,2,1,2,0,0,0,1
11,0,90.0,6,14,2,3,0,0,3,1
1,0,119.0,3,28,4,0,1,0,0,1
32,0,159.3,3,24,4,3,0,0,3,0
138,0,71.0,4,23,3,1,2,0,0,1
36,0,134.46,9,10,4,1,2,0,3,0
32,3,94.5,9,5,4,1,2,0,0,1
153,1,99.45,7,23,4,2,2,0,0,1
157,0,217.6,8,19,4,3,2,1,5,0
7,0,120.0,12,30,4,2,1,3,0,1
53,2,74.8,12,17,4,5,2,3,0,1
220,1,213.0,9,17,3,1,2,1,0,0
96,1,87.3,4,18,4,2,1,0,0,1
278,2,78.3,12,9,4,2,1,0,0,1
80,1,160.65,10,28,4,2,2,0,5,0
4,1,72.07,2,4,4,2,0,0,0,1
7,1,215.0,4,15,3,2,0,1,4,1
0,0,89.0,3,3,4,1,0,3,0,1
57,1,85.85,3,30,4,4,0,0,0,1
8,0,144.33,3,26,4,1,2,0,0,0
32,0,85.0,3,13,3,2,2,0,0,1
30,1,92.25,9,25,4,2,2,0,3,1
37,2,144.9,8,18,4,3,0,0,0,1
109,0,72.25,7,18,4,6,3,0,0,0
77,0,94.5,7,23,4,4,2,3,0,0
178,0,128.7,8,25,4,1,0,0,0,0
256,0,0.0,9,14,4,0,0,0,0,0
111,0,80.24,6,7,3,4,0,0,0,1
164,1,96.3,7,1,4,2,0,0,0,1
27,0,77.87,12,4,4,2,1,0,1,0
91,0,65.0,9,14,2,3,0,0,0,1
63,1,102.9,12,3,4,3,0,0,0,1
1,0,176.0,9,22,3,3,1,0,0,1
143,0,106.03,7,13,4,1,0,0,0,1
40,0,109.8,8,28,4,0,1,0,0,1
19,2,88.0,11,18,4,2,1,3,0,1
53,0,116.1,5,6,4,2,0,3,0,0
202,2,128.85,9,6,4,4,0,0,0,0
7,2,169.0,7,11,4,0,1,0,0,1
0,0,95.94,5,17,4,1,0,3,0,1
40,0,75.6,10,19,3,3,1,0,0,0
51,1,152.1,8,22,4,2,1,0,0,1
225,0,105.3,8,13,4,1,2,0,0,0
0,1,65.0,11,21,2,0,1,0,0,1
69,1,95.2,3,31,4,4,2,0,3,1
27,0,139.0,7,8,4,1,0,3,0,0
25,1,129.0,10,3,4,1,1,3,0,0
49,0,89.91,9,6,4,3,0,3,0,0
28,1,231.0,9,13,4,2,0,0,5,1
186,1,90.95,7,21,4,3,1,0,0,1
43,1,86.75,1,14,4,3,0,0,1,1
13,1,101.0,4,8,4,1,0,0,0,1
39,2,74.8,12,27,4,1,0,3,0,1
5,0,105.0,9,1,4,2,0,0,0,1
185,2,113.4,10,10,4,3,1,0,0,0
95,0,81.5,3,23,4,3,0,3,0,1
9,0,36.25,8,15,3,1,2,1,0,1
67,1,123.3,7,20,4,2,0,0,3,1
25,1,90.98,9,21,4,3,1,0,3,1
14,2,215.5,3,24,4,1,0,1,0,1
220,1,115.6,9,16,3,2,1,0,3,0
76,0,116.28,6,13,3,3,1,0,0,1
156,0,45.87,11,2,3,2,1,0,0,1
4,0,88.0,12,1,4,1,0,3,0,1
50,0,99.9,4,4,4,1,1,0,0,1
16,2,0.0,6,12,1,0,1,0,6,1
58,0,108.9,6,20,4,2,1,0,0,1
26,0,90.44,3,1,4,5,0,1,0,1
20,1,109.0,6,8,4,1,0,3,0,1
64,2,111.6,12,26,4,2,1,0,3,1
79,1,149.1,4,28,4,3,0,0,3,1
33,1,88.4,2,19,4,2,0,0,0,1
10,1,80.0,8,28,4,1,0,0,0,0
81,0,60.0,2,19,3,2,1,0,0,1
100,1,123.3,7,22,4,2,0,0,3,1
148,0,102.25,7,1,3,7,3,1,0,1
181,1,105.3,8,20,4,1,0,0,0,0
2,0,65.0,5,15,2,1,2,0,0,1
31,0,88.0,11,27,4,1,2,3,0,0
7,0,114.0,10,27,2,1,0,0,0,1
119,0,90.9,4,15,4,2,0,0,0,1
51,0,181.19,8,29,4,1,1,0,6,1
10,0,119.0,10,14,4,2,1,0,0,0
1,0,102.41,9,20,4,3,2,3,0,1
0,2,150.0,10,20,4,1,0,3,0,1
24,1,117.3,5,29,4,2,2,0,3,1
94,0,123.3,7,21,4,3,1,0,3,1
176,0,131.26,8,14,4,5,2,0,3,0
195,0,121.5,8,13,4,1,0,0,0,0
44,1,117.15,4,23,4,2,2,0,3,1
11,1,95.33,8,18,4,3,0,0,0,1
128,0,67.22,3,18,4,2,1,0,0,1
74,0,116.1,6,17,4,2,0,3,0,0
1,3,105.0,8,11,4,3,0,0,0,1
162,0,85.5,6,30,4,1,0,3,0,0
12,1,111.0,2,12,4,3,2,0,0,1
187,1,86.5,7,7,4,2,0,0,1,0
1,0,95.0,6,22,0,3,0,0,0,1
38,1,97.1,3,4,3,2,0,0,1,1
18,0,95.0,9,25,3,3,2,0,0,1
282,1,109.23,12,25,4,5,3,0,3,0
144,0,89.25,7,15,4,4,2,3,0,0
35,0,82.35,2,19,4,2,2,3,0,1
8,2,90.0,8,26,4,4,0,0,0,1
8,0,176.0,10,7,4,2,2,0,4,0
64,0,70.46,3,10,4,13,6,3,0,0
41,1,140.0,11,18,4,2,0,0,3,1
122,0,80.0,12,8,4,3,0,0,0,0
102,2,85.0,11,17,4,3,2,0,0,0
173,1,84.43,9,1,4,3,1,3,0,1
35,2,166.58,9,26,4,4,2,0,0,1
26,2,123.0,11,17,4,2,0,0,3,1
270,1,95.4,9,30,4,2,1,3,0,0
17,1,152.1,12,29,4,3,1,0,0,1
31,0,105.3,5,13,3,2,0,0,3,1
88,2,143.1,5,11,4,3,0,0,0,1
180,0,113.4,10,10,4,3,1,0,0,0
0,0,90.0,8,21,4,2,1,0,0,0
217,1,46.63,12,5,4,7,3,3,0,1
1,0,209.5,9,15,4,2,0,0,3,0
141,1,96.9,7,12,3,5,2,1,0,1
0,1,89.0,3,4,4,1,0,3,0,1
61,0,126.9,6,17,4,2,1,0,0,0
28,0,133.17,9,29,4,3,0,0,0,1
38,1,111.8,10,15,4,1,2,0,3,1
220,1,90.95,8,9,4,5,0,0,0,0
65,0,119.85,5,9,4,3,1,0,0,1
141,0,109.2,6,4,4,1,2,3,0,0
83,1,90.18,10,31,4,4,1,0,0,1
15,0,98.1,4,14,4,1,0,3,0,1
4,0,95.0,5,2,3,0,1,0,0,1
16,0,70.72,12,22,4,3,2,0,0,1
63,0,56.0,9,4,3,2,0,1,0,1
200,3,82.92,10,31,4,2,1,0,1,1
20,1,107.0,10,4,4,4,2,0,0,1
77,1,76.5,7,13,4,2,1,0,0,0
99,0,132.6,5,23,4,3,1,0,3,0
148,0,69.33,4,23,4,1,2,0,0,1
34,1,116.0,12,24,4,1,0,0,0,1
15,1,151.0,7,5,4,3,0,0,0,1
30,1,85.0,3,11,3,2,2,0,0,1
33,1,102.37,2,26,4,2,1,0,0,1
143,1,137.7,7,4,4,2,1,0,3,0
189,2,112.2,8,16,4,4,0,0,3,0
80,1,72.07,11,12,4,1,2,0,0,0
18,0,60.0,12,27,3,1,0,0,0,1
61,0,125.8,10,9,3,1,2,0,4,1
37,0,85.5,9,16,4,2,0,0,0,1
31,0,69.0,1,2,3,1,2,0,0,1
63,1,109.0,6,9,4,1,0,3,0,1
74,0,58.0,2,15,3,2,1,0,0,1
17,1,198.9,5,13,4,2,0,0,5,0
0,0,101.52,6,20,4,0,1,0,0,1
53,0,85.0,8,8,3,5,2,0,0,1
198,2,63.75,12,8,4,3,2,3,0,1
131,0,94.5,5,12,4,2,0,3,0,0
65,1,68.0,12,4,3,2,2,0,0,1
9,1,80.3,1,15,4,2,1,0,0,1
0,0,159.0,7,5,4,1,0,0,0,1
1,0,65.0,7,27,2,2,0,0,0,1
59,0,67.5,3,13,4,1,2,3,0,1
2,0,150.25,9,13,4,5,3,0,3,1
106,0,152.1,8,24,4,4,0,0,3,0
254,0,106.0,7,9,4,1,0,0,0,0
105,2,116.8,12,1,4,3,2,0,3,1
36,2,153.0,10,9,4,2,2,0,3,1
64,0,161.1,8,8,4,1,1,0,3,1
52,1,140.4,5,15,4,1,2,0,3,1
47,0,85.5,4,16,3,3,2,0,0,1
37,2,135.9,7,13,4,4,0,0,0,1
21,1,178.0,7,25,4,3,1,0,0,0
1,1,131.0,7,29,4,2,0,0,0,1
22,0,76.81,9,4,4,2,1,0,0,1
252,0,67.5,11,15,4,2,0,3,0,0
63,2,109.35,4,26,4,2,0,0,0,1
61,1,79.2,11,4,4,2,1,3,0,0
117,1,108.9,5,6,4,2,0,0,0,1
118,2,121.55,6,27,4,3,1,0,0,1
145,0,36.25,8,29,3,1,2,1,0,1
43,2,146.33,10,20,4,3,0,0,0,1
7,1,103.0,3,7,4,3,1,0,0,1
136,0,107.95,8,7,4,5,2,0,0,0
10,1,91.0,6,23,4,1,0,0,0,1
3,0,139.0,3,25,4,2,0,3,0,1
0,2,45.0,4,28,3,1,0,0,0,1
210,0,68.0,7,30,4,3,1,0,1,0
6,2,106.0,8,19,4,4,0,0,0,1
3,0,65.0,7,21,2,1,0,0,0,1
154,0,90.95,5,20,3,2,1,0,3,1
4,0,91.0,2,5,4,2,2,0,0,0
35,1,65.83,10,7,4,2,0,0,0,1
40,0,77.23,2,14,4,5,2,3,0,0
91,0,127.8,7,3,4,5,2,0,3,1
98,1,98.24,4,26,4,5,2,0,0,1
4,0,164.0,6,14,4,2,0,1,0,0
443,0,65.0,4,29,4,1,0,0,0,0
30,2,125.1,9,15,4,1,0,3,0,1
66,1,68.07,12,5,4,4,1,0,0,1
67,1,161.1,5,12,4,3,0,1,0,1
29,0,71.3,3,23,3,5,2,1,0,1
55,1,164.9,5,6,4,3,2,1,3,1
88,0,88.7,3,23,4,4,0,0,0,1
41,0,66.88,12,1,4,3,0,3,0,1
202,1,96.3,7,9,4,1,1,0,0,1
106,0,121.37,7,19,4,5,2,0,3,0
1,1,111.0,6,14,4,1,0,0,0,1
122,1,121.5,5,12,4,3,0,0,3,1
18,2,166.85,12,30,4,2,2,0,3,1
115,2,88.4,12,18,4,2,2,0,0,1
104,0,159.9,10,29,4,1,2,0,5,0
88,0,76.5,4,7,4,2,0,3,0,0
35,1,94.05,10,8,4,2,0,0,0,1
58,0,125.1,9,8,4,1,0,3,0,0
120,0,140.7,7,28,4,3,0,0,3,1
320,0,115.0,8,18,3,2,0,1,0,0
0,1,144.67,7,8,4,2,1,3,0,1
104,2,135.9,9,18,4,1,2,0,0,0
8,0,214.6,3,18,4,3,2,0,5,0
65,0,72.25,10,8,3,3,0,0,0,1
14,0,112.0,2,4,2,3,0,0,6,1
11,0,79.0,2,1,4,5,2,3,0,0
3,0,76.0,4,7,4,1,0,0,0,1
70,0,78.3,3,12,4,1,2,0,0,0
78,2,96.0,11,26,4,1,0,0,0,1
10,0,76.59,12,2,4,7,3,0,0,1
5,0,151.94,11,6,4,2,2,0,0,0
98,3,108.0,10,9,4,1,2,3,0,1
78,0,60.0,12,10,3,3,0,0,3,1
0,0,85.03,9,11,4,0,1,3,0,1
21,0,117.0,10,5,4,2,1,0,0,1
103,3,130.5,7,9,4,1,2,0,0,1
64,1,68.61,6,20,4,3,1,3,0,1
130,0,102.58,3,25,4,2,1,0,1,1
151,0,86.5,1,19,3,2,0,0,0,1
71,1,79.2,12,8,4,1,0,3,0,1
4,0,93.0,2,25,4,2,0,0,0,1
96,0,123.5,9,28,3,1,1,1,4,0
17,2,130.0,11,3,4,2,0,0,3,1
14,0,174.0,12,2,4,1,0,0,5,1
18,2,115.68,12,31,4,2,2,0,0,1
101,0,107.1,8,3,4,6,2,3,0,0
11,1,90.33,3,6,4,1,2,0,0,1
141,1,118.8,9,19,4,5,2,3,0,0
1,0,109.0,2,9,4,1,0,0,0,1
152,1,146.7,8,13,4,1,2,0,3,0
75,1,126.9,6,9,4,3,0,0,0,1
70,1,67.5,3,9,4,2,0,3,0,0
63,0,210.6,5,14,4,1,1,1,3,0
1,1,12.0,10,10,3,1,1,0,0,1
251,2,74.29,12,28,4,9,2,0,1,0
8,0,114.0,11,30,4,3,0,0,3,0
42,1,86.4,10,6,4,1,0,0,0,0
34,0,85.0,10,26,3,4,1,0,0,1
123,2,137.94,7,22,4,7,2,0,3,0
60,1,123.3,9,3,4,1,1,0,3,0
23,1,92.0,8,31,4,4,1,0,0,1
9,0,91.0,6,23,4,1,0,0,0,0
134,1,71.0,4,19,3,4,0,0,0,1
28,1,89.0,1,31,4,0,2,0,0,1
1,2,93.0,2,10,4,4,0,0,0,1
42,0,0.0,11,7,4,0,0,0,0,1
192,0,19.15,9,25,3,3,2,0,0,0
0,0,65.0,2,2,2,2,0,0,0,1
21,1,129.0,10,3,4,3,1,3,0,1
31,0,77.0,11,13,2,2,2,0,0,1
176,1,80.75,7,5,4,6,2,3,0,1
5,1,98.1,10,5,4,3,0,3,0,1
96,2,94.67,11,18,4,2,1,0,0,1
112,0,76.5,7,22,4,4,0,0,0,0
38,0,125.1,8,21,4,0,1,3,0,0
53,0,140.7,8,26,4,2,1,0,3,1
1,0,81.0,8,8,4,2,2,3,0,1
163,2,126.9,9,12,4,2,1,0,0,0
2,1,67.0,5,11,2,1,0,0,0,1
1,2,129.0,3,21,4,3,1,0,0,1
143,0,140.7,8,18,4,3,0,0,3,0
11,1,156.0,6,20,4,1,1,0,3,0
1,1,115.0,6,7,4,2,0,0,0,1
102,1,109.8,12,9,4,2,0,0,0,0
1,0,79.0,2,13,4,1,0,3,0,1
37,2,149.4,9,10,4,1,2,0,3,1
1,2,180.33,9,3,4,3,0,0,5,1
267,1,128.7,10,26,4,3,0,0,3,0
359,0,70.0,10,14,3,3,2,0,0,1
133,2,70.04,8,21,4,3,2,3,0,1
58,2,159.3,6,10,4,2,1,0,3,1
0,0,89.0,7,29,4,1,0,3,0,1
59,0,81.0,1,28,3,1,0,0,0,1
70,0,115.6,5,9,3,2,1,0,3,1
151,2,162.0,9,23,4,2,2,0,3,0
111,3,168.3,9,16,4,2,0,0,3,1
1,0,198.0,9,22,3,2,0,0,3,1
5,0,123.7,9,18,3,0,2,3,0,1
136,0,76.16,11,28,4,4,1,0,1,0
39,1,94.5,4,24,4,0,1,3,0,1
58,1,53.97,2,4,4,3,0,3,0,1
7,2,184.0,9,13,4,1,0,0,3,1
69,0,106.0,9,22,3,2,0,1,0,1
40,1,207.9,8,12,4,2,0,0,5,0
0,0,65.0,3,1,2,2,0,0,0,1
18,0,93.67,12,30,3,2,1,0,0,1
20,0,116.0,11,22,4,1,0,0,0,1
188,1,134.4,9,28,4,4,2,0,3,0
11,1,159.0,9,4,4,2,0,0,0,1
20,1,109.0,6,13,4,2,1,3,0,1
141,1,103.5,7,14,4,3,0,3,0,1
79,0,87.3,4,2,4,1,1,0,0,0
1,0,104.0,4,23,4,1,1,3,0,1
12,1,142.33,9,18,4,1,2,3,0,1
15,1,104.72,10,7,4,3,0,0,3,1
159,0,112.5,8,26,4,1,0,0,0,0
20,0,87.0,1,22,4,1,0,0,0,1
19,1,119.0,4,13,4,1,0,3,0,1
40,0,104.1,6,27,4,5,1,3,0,0
17,1,151.0,6,30,4,3,0,0,0,0
282,2,83.3,12,29,4,3,1,0,0,0
110,0,153.0,7,9,4,3,2,1,3,0
3,0,75.0,12,26,4,1,0,3,0,1
26,0,101.0,6,23,4,1,0,0,0,0
8,0,156.0,6,15,4,2,0,0,3,0
336,0,39.0,9,21,3,4,1,0,0,1
18,1,119.0,4,12,4,2,0,3,0,1
0,1,170.0,8,9,4,5,1,0,0,1
57,0,117.9,6,8,4,3,0,0,0,0
6,0,55.0,11,26,3,3,0,0,0,1
116,0,87.0,2,28,3,1,2,0,0,1
209,1,96.3,10,21,4,3,2,0,0,1
14,0,79.25,1,21,4,3,0,0,1,1
9,0,99.0,5,25,4,1,0,3,0,1
26,0,105.0,9,8,4,1,0,0,0,1
14,0,65.0,6,15,2,1,0,0,0,1
7,1,77.5,1,19,4,3,0,0,0,1
104,2,67.9,8,11,4,3,0,0,1,1
179,2,126.9,9,24,4,1,2,0,0,0
94,0,102.68,9,3,3,2,2,0,0,1
25,0,100.3,11,12,4,2,2,0,3,1
135,0,80.75,9,8,3,4,2,0,0,1
20,1,149.0,10,3,4,2,1,0,0,1
78,0,117.9,8,7,4,0,1,0,0,0
102,0,99.9,7,23,4,5,2,0,0,0
21,1,109.23,6,3,4,2,1,0,3,1
199,1,95.4,5,2,4,3,1,3,0,0
68,1,65.0,12,2,2,1,0,0,0,1
107,0,107.1,8,2,4,5,0,0,0,0
5,2,136.0,6,10,4,2,0,0,3,1
16,1,89.0,11,17,4,2,0,3,0,1
9,0,104.0,6,22,4,2,0,0,0,1
93,0,105.0,5,11,3,3,0,1,0,1
52,1,108.0,10,17,4,1,1,3,0,1
9,0,54.9,1,18,4,4,1,3,0,1
293,0,93.67,12,25,4,6,4,0,0,0
259,2,140.43,12,28,4,4,1,0,0,1
60,0,75.0,11,18,3,2,0,0,0,1
17,1,61.52,11,3,4,3,1,3,0,1
2,0,75.0,9,5,3,1,0,0,0,1
0,1,135.0,3,26,4,1,0,3,0,1
0,0,85.0,8,13,4,2,0,0,0,1
109,1,76.5,7,16,4,1,0,0,0,0
44,0,149.4,9,25,4,1,2,0,3,0
92,1,103.5,6,30,4,3,1,3,0,1
246,0,104.55,12,26,4,3,1,0,3,1
68,0,109.65,4,23,4,3,2,0,0,0
0,0,145.0,10,19,3,1,1,0,0,1
9,0,101.0,4,17,4,0,1,0,0,0
69,1,135.9,8,15,4,5,1,0,0,1
176,0,114.75,8,1,4,5,1,0,0,0
86,2,151.2,10,2,4,1,2,0,3,1
61,1,97.0,11,11,4,2,1,3,0,1
7,2,98.13,11,24,4,3,1,0,0,1
112,0,105.3,7,18,4,2,1,0,0,0
183,2,103.5,10,4,4,3,0,0,0,0
11,1,90.0,8,18,4,2,0,0,0,1
196,0,139.5,8,21,4,0,2,1,0,0
19,2,119.33,11,12,4,1,2,0,3,1
7,0,139.0,7,16,4,1,1,3,0,1
0,2,0.0,1,5,1,3,0,0,3,1
166,0,72.25,7,30,3,1,2,0,0,1
135,0,102.09,7,16,3,1,1,0,3,0
84,0,106.25,5,19,3,5,2,1,0,0
22,2,139.0,9,15,4,2,0,3,0,1
